Title,Abstract,Citations
Neurotechnology and direct brain communication: new insights and responsibilities concerning speechless but communicative subjects,"Neurotechnology and Direct Brain Communication focuses … The prospective use of neurotechnology to access mental … issues, investigating the tools neurotechnology offers to care …",12
Coping with Brain Disorders using Neurotechnology.,"… ) has even spawned a new industry, neurotechnology, that now rivals in growth and … rather more neurotechnology— with a twist (7). This has been to insert the use of neurotechnology in …",12
Direct-to-consumer neurotechnology: What is it and what is it for?,"… But if everything is neurotechnology then nothing is. … a broad definition of DTC neurotechnology, like the one proposed … narrow definition that restricts the neurotechnology label …",10
Pilot trial of a noninvasive closed-loop neurotechnology for stress-related symptoms in law enforcement: improvements in self-reported symptoms and …,"Background Law enforcement officers have decreased life expectancy, attributed to work-related exposure to traumatic stress and circadian disruption. Autonomic dysregulation is …",10
Concerning the challenge of neurotechnology,… The emerging field of neurotechnology deals with … Neurotechnology requires the development of adaptive pulse-… reasons to start a joint effort in the field of neurotechnology. …,9
The market for neurotechnology,"… That field is what we call neurotechnology. Unlike the field of … complex biological molecules, neurotechnology is concerned with … Some of the very early firms in the neurotechnology field …",8
Can BCIs enlighten the concept of agency? A plea for an experimental philosophy of neurotechnology,"… Simply put: neurotechnology can create conditions … neurotechnology on the experience of ownership of action (eg, as expressed in verbal reports). Thus, we are using neurotechnology, …",5
Neurotechnology and AI approach for early dementia onset biomarker from EEG in emotional stimulus evaluation task,We present an efficient utilization of a machine learning (ML) method concentrating on the ‘AI for social good’ application. We develop a digital dementia biomarker for early-onset …,5
Advancing the adoption of virtual reality and neurotechnology to improve flight training,"… neurotechnology to … neurotechnology in objective measurement of training progress and providing real-time feedback during VR flight tasks. Overall, VR combined with neurotechnology …",4
Neurotechnology and international security: Predicting commercial and military adoption of brain-computer interfaces (BCIs) in the United States and China,"In the past decade, international actors have launched “brain projects” or “brain initiatives.” One of the emerging technologies enabled by these publicly funded programs is brain-…",4
Ethical challenges in the commercialization of neurotechnology: contending with competing priorities,… industry that can undermine scientific values and unduly shape scientific neurotechnology … that the neurotechnology industry faces. We also note opportunities for the neurotechnology …,2
Multilayer Arrays for Neurotechnology Applications (MANTA): Chronically Stable Thin‐Film Intracortical Implants,"… major challenges of implantable neurotechnology, namely the … chronic stability of implantable neurotechnology. The probes … relying on neurotechnology to interface the human brain. …",0
Ethical Concerns and Perceptions of Consumer Neurotechnology from Lived Experiences of Mental Workload Tracking,… neurotechnology will be commonplace in the not-too-distant future. Current available consumer neurotechnology start-… The ethical side of neurotechnology should remain of the utmost …,0
Joint China-Cuba Laboratory for Frontier Research in Translational Neurotechnology,"Using functional resonance imaging (fMRI), we studied the relationship between perceptual organization and network topology within the primary visual cortex (V1). Twenty-six humans (…",21
Design choices for next-generation neurotechnology can impact motion artifact in electrophysiological and fast-scan cyclic voltammetry measurements,Implantable devices to measure neurochemical or electrical activity from the brain are mainstays of neuroscience research and have become increasingly utilized as enabling …,16
"Improvements in heart rate variability, baroreflex sensitivity, and sleep after use of closed-loop allostatic neurotechnology by a heterogeneous cohort","… Recently, a self-care configuration (Braintellect-2 ® ; Brain State Technologies, Scottsdale, AZ, USA) of the closed-loop allostatic neurotechnology evaluated in this study has been …",15
Neurotechnology as a tool for inducing and measuring altered states of consciousness in transpersonal psychotherapy,"… neurotechnology, this review begins with an introduction to the technologies that made possible the modern neurotechnology … and applications of neurotechnology for inducing altered …",13
Targeted neurotechnology restores walking in humans with spinal cord injury,Spinal cord injury leads to severe locomotor deficits or even complete leg paralysis. Here we introduce targeted spinal cord stimulation neurotechnologies that enabled voluntary control …,700
Towards new human rights in the age of neuroscience and neurotechnology,Rapid advancements in human neuroscience and neurotechnology open unprecedented … This paper assesses the implications of emerging neurotechnology applications in the …,353
Neurotechnology and society (2010–2060),"… is making possible is neurotechnology, the set of tools that can influence the human central nervous system, especially the brain. The diffusion of neurotechnology will give rise to a new …",157
Neurotechnology for biomimetic robots,… We submit that neurotechnology is the process of engineering devices that confer … neurotechnology that defines a pathway to truly autonomous robots. We submit that neurotechnology …,153
Neurotechnology-aided interventions for upper limb motor rehabilitation in severe chronic stroke,Upper limb motor deficits in severe stroke survivors often remain unresolved over extended time periods. Novel neurotechnologies have the potential to significantly support upper limb …,128
Brain leaks and consumer neurotechnology,"… According to a recent review by neurotechnology market research firm SharpBrains, the number of patent classifications related to DTC neurotechnology has more than doubled in …",118
Mind reading and writing: The future of neurotechnology,"Recent advances in neuroscience and technology have made it possible to record from large assemblies of neurons and to decode their activity to extract information. At the same time, …",95
Statistical signal processing for neuroscience and neurotechnology,"This is a uniquely comprehensive reference that summarizes the state of the art of signal processing theory and techniques for solving emerging problems in neuroscience, and which …",92
Commercializing cognitive neurotechnology—the ethical terrain,"… If ignored, these concerns could compromise successful application of neurotechnology products in the marketplace and increase the potential for harm. Companies must therefore …",84
Neurotechnology: Current developments and ethical issues,"Neurotechnology is a fascinating and, at the same time, controversial field as one of its goals is to directly “wire up” human brains to machines. We should indeed expect to encounter …",70
"Brain data: Scanning, scraping and sculpting the plastic learning brain through neurotechnology","… As neurotechnology developments are being extended to education, … neurotechnology developments and implications for education. It examines the purposes to which neurotechnology …",65
"Neurotechnology: Premises, potential, and problems","… Neuroscience and neurotechnology have … neurotechnology are implicitly and explicitly shaping our worldview—and our world. On the one hand, neuroscience and neurotechnology …",40
A preparatory neuroethical approach to assessing developments in neurotechnology,"The intricate—and still not fully understood—relationship of the structures and functions of the brain to the properties of consciousness, cognition, emotion, and behavior that define what …",40
An ethics toolbox for neurotechnology,"… Advances in neurotechnology will raise new ethical dilemmas, to which scientists and the rest of society must respond. Here I present a “toolbox” of concepts to help us analyze these issues …",38
"Neurotechnology in national security and defense: Practical considerations, neuroethical concerns","… Thus, neuroscience and neurotechnology are implicitly and explicitly shaping our worldview… the profound questions that neurotechnology will foster. Can neurotechnology resolve the …",31
Issues in neurotechnology governance,… recommendations and best practices around neurotechnology development and use. … of neurotechnology is critical to its success. As brain science and neurotechnology have …,23
Developing collaborative platforms to advance neurotechnology and its translation,… that could promote future neurotechnology roadmaps and industrial-academic-government collaborative activities. We believe that community-supported neurotechnology platforms will …,22
Of man and mice: translational research in neurotechnology,"Emerging technological developments in nano- and microsystems engineering have delivered powerful tools for neuroscience research over the last 50 years. However, only a few …",22
The ethics of neurotechnology,"… Chang: For me, the most pressing issue is that there is no consensus about what societal limits we want so as to avoid unwanted applications of neurotechnology, particularly for human …",10
Neurotechnology for Pain,Neurotechnologies for treating pain rely on electrical stimulation of the central or peripheral nervous system to disrupt or block pain signaling and have been commercialized to treat a …,0
"Pain assessment: subjectivity, objectivity, and the use of neurotechnology part one: practical and ethical Issues",This essay is the first of a two-part series that explicates how the intellectual tasks of knowing about pain and the assessment of its experience and expression in the pain patient are …,72
Implantable brain computer interface: Challenges to neurotechnology translation,"This article reviews three concepts related to implantable brain computer interface (BCI) devices being designed for human use: neural signal extraction primarily for motor commands, …",68
"The future of the self-image of the human being in the age of transhumanism, neurotechnology and global transition","In the present moment of cultural and political transition, one question seems to become the center of most other societal and civilizational questions: will the basic self-perception of the …",59
From healthcare to warfare and reverse: How should we regulate dual-use neurotechnology?,"… neurotechnology, the claim that we would be better off in a world without military neurotechnology … opportunities for accelerating development in neurotechnology and can spillover into …",46
Neurotechnology and society: Strengthening responsible innovation in brain science,"Technological advances have the potential to dramatically increase our understanding of the human brain, treat and cure injury and disease, and enhance our general well-being. …",40
EEG-based brain-computer interfaces: a novel neurotechnology and computational intelligence method,This article presents the latest BCI-related research done in our group. Our previous work applied computational intelligence technology in BCIs to inspire detailed investigations of …,36
Responsible innovation in neurotechnology enterprises,"Novel neurotechnology offers significant potential for the promotion of health and economic … novel neurotechnology, services and markets. At the same time, neurotechnology raises a …",27
The impact of neurotechnology on rehabilitation,"This paper present results of a multi-disciplinary project that is developing a microchip-based neural prosthesis for the hippocampus, a region of the brain responsible for the formation …",26
The promise of neurotechnology in clinical translational science,"Neurotechnology is broadly defined as a set of devices used … technical and methodological, of neurotechnology in the context of … the necessary features of neurotechnology in the clinic. …",25
Grand challenges in neurotechnology and system neuroergonomics,"… The benefits of using neurotechnology must be both tangible and unique. In order to explore how neurotechnology can create positive user experiences, we must develop our …",22
Emerging neurotechnology for antinoceptive mechanisms and therapeutics discovery,"The tolerance, abuse, and potential exacerbation associated with classical chronic pain medications such as opioids creates a need for alternative therapeutics. Phenotypic screening …",21
Is the European Data Protection Regulation sufficient to deal with emerging data concerns relating to neurotechnology?,Research-driven technology development in the fields of the neurosciences presents interesting and potentially complicated issues around data in general and brain data specifically. …,21
Mobilizing the private sector for responsible innovation in neurotechnology,"… that can help ensure better governance of neurotechnology innovation in corporate settings. … Frahm, NM International governance of neuroscience and neurotechnology: whom to trust …",17
Transient electronics: new opportunities for implantable neurotechnology,"… a new asset to the neurotechnology toolbox. Transient neurotechnology reduces the side … This review focuses on the rising potential of transient neurotechnology for human benefit, …",15
Towards internet-of-things for wearable neurotechnology,"… for the emerging wearable neurotechnology in modern IoT … by embedding wearable neurotechnology in their design. We … , and ubiquitous wearable neurotechnology. Most of these …",11
The security and military implications of neurotechnology and artificial intelligence,"… neurotechnology and looks at the security and military implications of these technologies in light of their current capabilities. AI and neurotechnology … , both neurotechnology and artificial …",11
Neurotechnology ethics and relational agency,"… of themselves through interaction with neurotechnology. Reviewing the literature, … neurotechnology, we suggest that philosophers may use the insights gleaned from neurotechnology …",9
Concerns in the blurred divisions between medical and consumer neurotechnology,"… tings, recent advancements in neurotechnology have yielded … to the rise of wearable neurotechnology that is marketed to the … Here, we characterize neurotechnology based on medical …",9
Educational neurotechnology: Where do we go from here?,… to an interest in educational neurotechnology. While these tools … potential of educational neurotechnology including what we … to the successful adoption of educational neurotechnology. …,0
Engineering Materials for Neurotechnology,Neurotechnology applies methods and devices to mitigate the … Materials play a pivotal role in neurotechnology. Advanced … for materials engineering applied to neurotechnology. …,0
"An early-and necessary-flight of the owl of Minerva: neuroscience, neurotechnology, human socio-cultural boundaries, and the importance of neuroethics","… use of neuroscience and neurotechnology for national security and … Indeed, neuroscience and neurotechnology are affecting … we view neuroscience and neurotechnology as the latest …",47
Transhumanism and the wisdom of old genes is neurotechnology as source of future happiness?,Technological progress seems to open ways for redesigning the human organism. This means that the affective system that is built into the brain by evolution can be redesigned with …,40
"Neurotechnology, invasiveness and the extended mind","According to a standard view, the physical boundary of the person—the skin-and-skull boundary—matters morally because this boundary delineates between where the person begins …",36
Use of geoinformation and neurotechnology to assess and to forecast the humus content variations in the steppe soils,"This paper reports the results obtained using the systemic basin approach, geoinformation, and neurotechnology for modeling and forecasting of the humus spatial inhomogeneity and …",31
Neurotechnology for image analysis: Searching for needles in haystacks efficiently,Timely and efficient processing of complex imagery is a vital aspect of important domains such as intelligence image analysis. As technological developments lower the cost of …,29
Wireless kinematic body sensor network for low-cost neurotechnology applications “in-the-wild”,"We present an ultra-portable and low-cost body sensor network (BSN), which enables wireless recording of human motor movement kinematics and neurological signals in …",29
A national network of neurotechnology centers for the BRAIN initiative,"… , national network of neurotechnology centers, devoted to the … as important elements for future neurotechnology, we believe that … a network of neurotechnology centers can ensure the …",27
Estimated prevalence of the target population for brain-computer interface neurotechnology in the Netherlands,Background. People who suffer from paralysis have difficulties participating in society. Particularly burdensome is the locked-in syndrome (LIS). LIS patients are not able to move and …,24
"Brain recording, mind-reading, and neurotechnology: ethical issues from consumer devices to brain-based speech decoding","… as a point of reference for ethical concerns surrounding neurotechnology, we can ask of the … of neurotechnology, something should be said about the presentation of neurotechnology. …",21
Closing the loop between neurons and neurotechnology,"Brain-machine interfaces (BMIs, or braincomputer interfaces, BCIs) have caused a lot of excitement in the past few years; they promise to make the lame walk, the mute talk, the blind see…",20
Dual-use nano-neurotechnology: an assessment of the implications of trends in science and technology,"The chemical and biological nonproliferation regime stands at a watershed moment, when failure seems a real possibility. After the unsuccessful outcome of the 2016 Eighth Review …",19
"Correcting the brain? The convergence of neuroscience, neurotechnology, psychiatry, and artificial intelligence","The incorporation of neural-based technologies into psychiatry offers novel means to use neural data in patient assessment and clinical diagnosis. However, an over-optimistic …",18
Neuroethics inside and out: A comparative survey of neural device industry representatives and the general public on ethical issues and principles in neurotechnology,Neurotechnologies are rapidly being developed with the aim of alleviating suffering caused by disease and assisting individuals with various disabilities. As the capabilities and …,14
New cognitive neurotechnology facilitates studies of cortical–subcortical interactions,"Most of the studies employing neuroimaging have focused on cortical and subcortical signals individually to obtain neurophysiological signatures of cognitive functions. However, …",11
Fostering the trustworthiness of researchers: SPECS and the role of ethical reflexivity in novel neurotechnology research,"… By novel neurotechnology, we refer to the varieties of electronic devices that interact with an … The advancement of novel neurotechnology research requires that people put trust in …",7
Future of smart classroom in the era of wearable neurotechnology,"… neurotechnology in adaptive human-in-the-loop smart systems. Considering these advances, we envision that future education will exploit the advances in wearable neurotechnology …",4
"Assessment of mapping the brain, a novel research and neurotechnology based approach for the modern neuroscience classroom","… and assessed a neurotechnology CURE, Mapping the Brain. … article analysis and neurotechnology assessment. Our … of authentic research and a neurotechnology focus, Mapping …",3
Public attitudes towards neurotechnology: Findings from two experiments concerning brain stimulation devices (BSDs) and brain-computer interfaces (BCIs),"This study contributes to the emerging literature on public perceptions of neurotechnological devices (NTDs) in their medical and non-medical applications, depending on their …",2
AI and Neurotechnology: Learning from AI Ethics to Address an Expanded Ethics Landscape,"… Yet, this assumption may no longer be a certainty with advances in neurotechnology. Furthermore, the fact that some neurotech can directly modify ongoing neural activity and …",1
Emulating future neurotechnology using magic,Recent developments in neuroscience and artificial intelligence have allowed machines to decode mental processes with growing accuracy. Neuroethicists have speculated that …,0
"Neuroscience, neurotechnology, and national security: The need for preparedness and an ethics of responsible action","We concur with Jonathan Marks (2010) that brain science can and will continue to be employed in military, and other national defense/security applications. We also concur that recent …",23
"Clinical, hemispheric, and autonomic changes associated with use of closed-loop, allostatic neurotechnology by a case series of individuals with self-reported …","The objective of this pilot study was to explore the use of a closed-loop, allostatic, acoustic stimulation neurotechnology for individuals with self-reported symptoms of post-traumatic …",22
Neurotechnology to accelerate learning: during marksmanship training,"This article explores the psychophysiological metrics during expert and novice performances in marksmanship, combat deadly force judgment and decision making (DFJDM), and …",22
Successful use of closed-loop allostatic neurotechnology for post-traumatic stress symptoms in military personnel: self-reported and autonomic improvements,… We hypothesized that use of the neurotechnology would be followed by reductions in self-reported PTSD-related symptomatology as well as improvements in HRV and BRS. For a …,22
Peanut: Personalised emotional agent for neurotechnology user-training,"Mental-Imagery based Brain-Computer Interfaces (MI-BCI) are neurotechnologies enabling users to control applications using their brain activity alone. Although promising, they are …",16
Motor imagery with brain-computer interface neurotechnology,A brain-computer interface (BCI) analyzes brain activity in real-time to convey information or control an external device. BCI systems often consist of a biosignal amplifier for EEG data …,15
Conditions for consent to the use of neurotechnology: a preparatory neuroethical approach to risk assessment and reduction,New developments in deep brain stimulation (DBS) enable both open-and closed-loop modulation of brain structures and functions that are important to the clinical treatment of a …,14
Neurotechnology and direct brain communication: new insights and responsibilities concerning speechless but communicative subjects,"Neurotechnology and Direct Brain Communication focuses … The prospective use of neurotechnology to access mental … issues, investigating the tools neurotechnology offers to care …",12
Coping with Brain Disorders using Neurotechnology.,"… ) has even spawned a new industry, neurotechnology, that now rivals in growth and … rather more neurotechnology— with a twist (7). This has been to insert the use of neurotechnology in …",12
Direct-to-consumer neurotechnology: What is it and what is it for?,"… But if everything is neurotechnology then nothing is. … a broad definition of DTC neurotechnology, like the one proposed … narrow definition that restricts the neurotechnology label …",10
Pilot trial of a noninvasive closed-loop neurotechnology for stress-related symptoms in law enforcement: improvements in self-reported symptoms and …,"Background Law enforcement officers have decreased life expectancy, attributed to work-related exposure to traumatic stress and circadian disruption. Autonomic dysregulation is …",10
Concerning the challenge of neurotechnology,… The emerging field of neurotechnology deals with … Neurotechnology requires the development of adaptive pulse-… reasons to start a joint effort in the field of neurotechnology. …,9
The market for neurotechnology,"… That field is what we call neurotechnology. Unlike the field of … complex biological molecules, neurotechnology is concerned with … Some of the very early firms in the neurotechnology field …",8
Can BCIs enlighten the concept of agency? A plea for an experimental philosophy of neurotechnology,"… Simply put: neurotechnology can create conditions … neurotechnology on the experience of ownership of action (eg, as expressed in verbal reports). Thus, we are using neurotechnology, …",5
Neurotechnology and AI approach for early dementia onset biomarker from EEG in emotional stimulus evaluation task,We present an efficient utilization of a machine learning (ML) method concentrating on the ‘AI for social good’ application. We develop a digital dementia biomarker for early-onset …,5
Advancing the adoption of virtual reality and neurotechnology to improve flight training,"… neurotechnology to … neurotechnology in objective measurement of training progress and providing real-time feedback during VR flight tasks. Overall, VR combined with neurotechnology …",4
Neurotechnology and international security: Predicting commercial and military adoption of brain-computer interfaces (BCIs) in the United States and China,"In the past decade, international actors have launched “brain projects” or “brain initiatives.” One of the emerging technologies enabled by these publicly funded programs is brain-…",4
Ethical challenges in the commercialization of neurotechnology: contending with competing priorities,… industry that can undermine scientific values and unduly shape scientific neurotechnology … that the neurotechnology industry faces. We also note opportunities for the neurotechnology …,2
Multilayer Arrays for Neurotechnology Applications (MANTA): Chronically Stable Thin‐Film Intracortical Implants,"… major challenges of implantable neurotechnology, namely the … chronic stability of implantable neurotechnology. The probes … relying on neurotechnology to interface the human brain. …",0
Ethical Concerns and Perceptions of Consumer Neurotechnology from Lived Experiences of Mental Workload Tracking,… neurotechnology will be commonplace in the not-too-distant future. Current available consumer neurotechnology start-… The ethical side of neurotechnology should remain of the utmost …,0
Joint China-Cuba Laboratory for Frontier Research in Translational Neurotechnology,"Using functional resonance imaging (fMRI), we studied the relationship between perceptual organization and network topology within the primary visual cortex (V1). Twenty-six humans (…",21
Design choices for next-generation neurotechnology can impact motion artifact in electrophysiological and fast-scan cyclic voltammetry measurements,Implantable devices to measure neurochemical or electrical activity from the brain are mainstays of neuroscience research and have become increasingly utilized as enabling …,16
"Improvements in heart rate variability, baroreflex sensitivity, and sleep after use of closed-loop allostatic neurotechnology by a heterogeneous cohort","… Recently, a self-care configuration (Braintellect-2 ® ; Brain State Technologies, Scottsdale, AZ, USA) of the closed-loop allostatic neurotechnology evaluated in this study has been …",15
Neurotechnology as a tool for inducing and measuring altered states of consciousness in transpersonal psychotherapy,"… neurotechnology, this review begins with an introduction to the technologies that made possible the modern neurotechnology … and applications of neurotechnology for inducing altered …",13
Reduction in menopause-related symptoms associated with use of a noninvasive neurotechnology for autocalibration of neural oscillations,"Objective Increased amplitudes in high-frequency brain electrical activity are reported with menopausal hot flashes. We report outcomes associated with the use of High-resolution, …",13
Introduction-On the need for neurotechnology in the national intelligence and defense agenda: Scope and trajectory,"In light of the recent advances in neuroscience and neurotechnology, we posit that intellectual and empirical commitment to brain science is critical to national security. Moreover, we …",11
Weaponising neurotechnology: international humanitarian law and the loss of language,… the significance of neurotechnology for the development of … that would depend on neurotechnology and be integrated into … what extent the impact of neurotechnology on the legality …,10
Technical challenges of active implantable medical devices for neurotechnology,Active Implantable Medical Devices used in Neurotechnology as Brain-Computer Interfaces enable paralyzed patients to recover some degree of movement and speech. Impressive …,8
The seductive allure of artificial Intelligence-powered Neurotechnology,"Neuroscience explanations-even when completely irrelevant-have been shown to exert a ""seductive allure"" on individuals, leading them to judge bad explanations or arguments more …",8
Wireless neurotechnology for neural prostheses,This chapter outlines the exploratory research by reviewing ongoing neuroengineering research on wireless brain interfaces in non‐human primates (NHPs) through the critical steps …,8
Standardization of neurotechnology for brain-machine interfacing: state of the art and recommendations,"… BMI-specific standards in this domain should build on existing principles, standards, and regulatory guidelines for medical and information technologies; (3) Existing efforts to improve …",6
Youth weigh in: views on advanced neurotechnology for drug-resistant epilepsy,"Background: Epilepsy affects over 500,000 children in North America of whom 30% have drug-resistant epilepsy. Advancements with neurotechnologies show promising benefits, but …",6
Does neurotechnology produce a better brain?,"… As part of our investigation into neurotechnology’s science and challenges, we identified several drivers in the commercial growth of tES and of neurotechnology in general, including …",6
A translational approach to neurotechnology development,"The past several decades have seen an explosion of meaningful and nuanced insights into the connection between human behavior and the nervous system; however, the translation …",6
Epilepsy through the eyes of the media: a paradox of positive reporting and challenges of access to advanced neurotechnology,"Objective Media coverage of disorders and medical advancements can impact public perception regarding the riskiness, effectiveness, and accessibility of treatment options. We …",5
Clinical neuroscience and neurotechnology: An amazing symbiosis,"In the last decades, clinical neuroscience found a novel ally in neurotechnologies, devices able to record and stimulate electrical activity in the nervous system. These technologies …",2
Reengineering neurotechnology: placing patients first,"Neurotechnologies that measure and modulate brain activity have not yet reached widespread clinical relevance. To accelerate translation into patient care, we propose three strategic …",2
A miniaturized and low-energy subcutaneous optical telemetry module for neurotechnology,Objective. This study presents a proof-of-concept optical telemetry module that leverages a single light-emitting diode (LED) to transmit data at a high bit rate while consuming low …,0
An optogenetics device with smartphone video capture to introduce neurotechnology and systems neuroscience to high school students,"Although neurotechnology careers are on the rise, and … , increasing neuroscience and neurotechnology exposure in high school … of key neuroscience and neurotechnology concepts, …",0
Neurotechnology and the law,"… For example, BrainGate is a US-based multi-institutional research effort to develop and test novel neurotechnology aimed at restoring communication, mobility, and independence. It is …",0
"A preliminary study of the effectiveness of an allostatic, closed-loop, acoustic stimulation neurotechnology in the treatment of athletes with persisting post …","Background Effective interventions are needed for individuals with persisting post-concussion symptoms. High-resolution, relational, resonance-based, electroencephalic mirroring (…",18
Tactile-force brain-computer interface paradigm: Somatosensory multimedia neurotechnology application,This study explores the extent to which a neurotechnology multimedia application utilizing tactile-force stimulus delivered to the hand holding a force-feedback joystick can serve as a …,14
Use of an allostatic neurotechnology by adolescents with postural orthostatic tachycardia syndrome (POTS) is associated with improvements in heart rate …,"Autonomic dysregulation and heterogeneous symptoms characterize postural orthostatic tachycardia syndrome (POTS). This study evaluated the effect of high-resolution, relational, …",14
From brain image to the Bush doctrine: critical neuroscience and the political uses of neurotechnology,… A focus on the problems inherent in the epistemic claims for neurotechnology does not … The focus on neurotechnology encourages us to interiorize a problem that has essentially to …,12
AI Neurotechnology for Aging Societies--Task-load and Dementia EEG Digital Biomarker Development Using Information Geometry Machine Learning Methods,… We propose a framework to utilize AI–based neurotechnology employing ML together with recently proposed data–driven preprocessing techniques based on a wavelet synchro–…,11
A quantum biofeedback and neurotechnology cybertherapy system for the support of transpersonal psychotherapy,Transpersonal psychology is the study of human nature and rests on the assumption that human beings possess potentials that exceed the limits of their ego and integrate the spiritual …,10
international standards for intellectual property protection of neuroscience and neurotechnology: neuroethical legal and social (NELS) considerations in light of …,"… As neuroscientific research and neurotechnology enter the forefront of biomedical … access to, neurotechnology on the world stage. Current advancements in neurotechnology such as …",9
The neurotechnology and society interface: responsible innovation in an international context,"… of neurotechnology and society in an international context, defining neurotechnology broadly … context, they explore neurotechnology as a simultaneously technical and social practice. …",7
"Emergentism at the crossroads of philosophy, neurotechnology, and the enhancement debate",This article examines the implications of emergentism for research in philosophy and neurotechnology and evaluates the capabilities of brain-machine interfaces (BMI) to enhance brain …,7
Building intricate partnerships with neurotechnology: Deep brain stimulation and relational agency,"Deep Brain Stimulation (DBS) is an FDA-approved treatment for symptoms of motor disorders—with experimental use for psychiatric disorders. DBS, however, causes a variety of side …",7
Stratified active screening: where neurotechnology meets public health,"MEDICC Review, Winter 2009, Vol 11, No 1 8 serve as the foundation for the development of a national neuroscience diagnostic network in the 1980s. Creation of this network enabled …",7
Moral enhancement? Acknowledging limitations of neurotechnology and morality,"… We still must address key questions about the capabilities, limits, and value of the neurotechnology—and method(s)—used (Giordano 2015). Indeed, as the authors note, there are …",7
Assessing current mechanisms for the regulation of direct-to-consumer neurotechnology,"Unlike products approved for clinical use, direct-to-consumer (DTC) neurotechnologies often have unknown efficacy and are not subject to the same forms of regulation. Due to these …",5
Understanding attributes that influence physician and caregiver decisions about neurotechnology for pediatric drug-resistant epilepsy: a formative qualitative …,Objective This study reports formative qualitative research used to analyze decision making regarding neurotechnological interventions for pediatric drug-resistant epilepsy from the …,5
Building communication neurotechnology for high stakes communications,"… Communication neurotechnology that is based on detecting … that are important for communication neurotechnology. First, … a communication neurotechnology and must be …",4
A transformative roadmap for neurotechnology in the UK,"… In this paper we set out a roadmap for a UK Neurotechnology Programme with three underpinning recommendations, which we believe will transform UK neurotechnology research, …",3
Perception as Media: Reconsidering the Arts and Neurotechnology,Recent developments in neurotechnology raise the possibility of directly reading out—or sending input into—perceptual awareness. Using Marshall McLuhan's statement “the ‘content’ …,2
"Artificial intelligence, brains, and beyond: Imperial college london neurotechnology symposium, 2020","In this report, we give an overview of the proceedings from the online Imperial College London Neurotechnology Symposium 2020. The first part deals with the fundamentals of how …",2
"Neurotechnology: Bridging the dialogue between engineers, material scientists, clinicians, and ethicists","… What is the motivation, and why do we need conversation between disciplines to advance research in neurotechnology and neuroengineering? … As we advance …",1
Invasive Neurotechnology: A Study of the Concept of Invasiveness in Neuroethics,… neurotechnology. We conducted a contextual analysis of the concept of invasiveness found in 50 articles discussing ethical implications of neurotechnology. … emerging neurotechnology …,0
Toward neurotechnology innovation: report from the 2005 Neural Interfaces Workshop. An NIH-sponsored event,"… His insights as a patient not only affirmed the benefits of neurotechnology, but also challenged the workshop participants to continue to advance technologies and applications in DBS. …",12
“This position requires some alteration of your brain”: On the moral and legal issues of using neurotechnology to modify employees,"… neurotechnology could alter the extent, nature, speed, and culture of employment. … neurotechnology can affect the world of employment. Essentially, the issue is how neurotechnology …",10
Music Neurotechnology for Sound Synthesis: Sound Synthesis with Spiking Neuronal Networks,"… We have coined the term music neurotechnology to refer to a … Examples of ongoing research into music neurotechnology … research into music neurotechnology for sound synthesis, with …",10
"Opinion on 'Responsible Dual Use': political, security, intelligence and military research of concern in neuroscience and neurotechnology","Current and newly emerging insights and technologies arising from research in brain sciences increase capabilities to access, assess and affect thought, emotion and behaviour. While …",8
Brain enabled by next-generation neurotechnology: Using multiscale and multimodal models,The ultimate goal is to understand how the information in the distributed neural circuits of the brain reorganizes and plastically adapts to laboratory disruptions designed to reversibly …,8
Neurotechnology for intelligence analysts,"Geospatial Intelligence Analysts are currently faced with an enormous volume of imagery, only a fraction of which can be processed or reviewed in a timely operational manner. …",7
"Functional brain network changes following use of an allostatic, closed‐loop, acoustic stimulation neurotechnology for military‐related traumatic stress","… Studies have also indicated that this allostatic neurotechnology may be therapeutic for … may have been due to usage of the neurotechnology intervention as such, rather than nonspecific …",7
From Neuroskepticism to Neuroethics: Role of Morality in Neuroscience That Becomes Neurotechnology,"… between neuroscience and neurotechnology. Morality and … in the process that brings neurotechnology to the market. Cultural … —why we need some kind of neurotechnology, and/or …",7
Neurotechnology: microelectronics,"In recent decades, the development of neural prostheses has benefited greatly from technological advances, particularly in the area of greater miniaturization and integration of …",5
The future of neurotechnology innovation,"Advances across several areas of neurotechnology research including stem cells treatments, new imaging technologies, drug delivery technologies and novel neuromodulation …",5
The neurotechnology revolution has arrived,… of neurotechnology has officially arrived. Many examples of transformative neurotechnology are … Neurotechnology is just one more step in humanity's digital neuronal evolution into the …,5
Beyond flourishing: Intersecting uses and interests in the neurotechnology marketplace,"… that support the sale and promotion of DTC neurotechnology. These market forces not only generate misleading marketing of neurotechnology, in the absence of robust scientific …",4
How intelligent neurotechnology can be epistemically unjust. An exploration into the ethics of algorithms,… implications of behavioral intelligent neurotechnology (B-INT)… ) and in certain forms of intelligent neurotechnology (INT). INT … such INTs as behavioral intelligent neurotechnology (B-INT). …,4
Brain-computer interfaces: current and future investigations in the philosophy and politics of neurotechnology,"Important insights have been generated by ethicists, philosophers, sociologists, lawyers, and representatives from other disciplines regarding the ethics of neurotechnology in general …",4
"Bioculture and the global regulatory gap in neuroscience, neurotechnology, and neuroethics","This chapter introduces the importance of contextual and cultural interaction with neuroscience, neurotechnology, artificial intelligence and neuroethics. It presents the relevance of this …",3
